pos,titel,artiest,jaar,Datum,datum2
1098,Roadhouse Blues,The Doors,1970,28-12-16 5:37,41270
1097,Back Down South,Kings Of Leon,2010,28-12-16 5:41,41270
1096,Rumour Has It,Adele,2011,28-12-16 5:45,41270
1095,Call Me The Breeze,J.J. Cale,1971,28-12-16 5:48,41270
1094,I Want It That Way,The Backstreet Boys,1999,28-12-16 5:51,41270
1093,Smalltown Boy,Bronski Beat,1984,28-12-16 5:55,41270
1092,A Change Is Gonna Come,Sam Cooke,1964,28-12-16 5:58,41270
1091,De Weg,Guus Meeuwis,2005,28-12-16 6:12,41270
1090,The Blower's Daughter,Damien Rice,2004,28-12-16 6:15,41270
1089,Dark Necessities,Red Hot Chili Peppers,2016,28-12-16 6:19,41270
1088,Give A Little Bit,Supertramp,1977,28-12-16 6:23,41270
1087,Roundabout,Yes,1972,28-12-16 6:27,41270
1086,Summertime,Brainbox,1969,28-12-16 6:31,41270
1085,Nightporter,Japan,1980,28-12-16 6:36,41270
1084,Nergens Goed Voor,De Dijk,1989,28-12-16 6:40,41270
1083,Touch Me,The Doors,1969,28-12-16 6:44,41270
1082,It's A Man's Man's World,James Brown,1966,28-12-16 6:46,41270
1081,Dodenrit,Drs. P,1974,28-12-16 6:51,41270
1080,You Took The Words Right Out Of My Mouth,Meat Loaf,1979,28-12-16 6:56,41270
1079,Mooi Liedje,Acda En De Munnik,1997,28-12-16 6:59,41270
1078,Me Gustas Tu,Manu Chao,2000,28-12-16 7:13,41270
1077,Beds Are Burning,Midnight Oil,1988,28-12-16 7:17,41270
1076,Dazed And Confused,Led Zeppelin,1969,28-12-16 7:24,41270
1075,The Air That I Breathe,The Hollies,1974,28-12-16 7:28,41270
1074,All I Want For Christmas Is You,Mariah Carey,1994,28-12-16 7:32,41270
1073,Isn't It Time,The Babys,1977,28-12-16 7:36,41270
1072,Wit Licht,Jeroen van Koningsbrugge,2015,28-12-16 7:39,41270
1071,Heaven,Bryan Adams,1985,28-12-16 7:43,41270
1070,Boys Don't Cry,The Cure,1986,28-12-16 7:46,41270
1069,Speed Of Sound,Coldplay,2005,28-12-16 7:51,41270
1068,Moonlight Shadow,Mike Oldfield feat. Maggie Reilly,1983,28-12-16 7:54,41270
1067,Every Teardrop Is A Waterfall,Coldplay,2011,28-12-16 7:58,41270
1066,I Wish It Would Rain Down,Phil Collins,1990,28-12-16 8:14,41270
1065,Sexy Als Ik Dans,Nielson,2014,28-12-16 8:18,41270
1064,Are You Gonna Go My Way,Lenny Kravitz,1993,28-12-16 8:21,41270
1063,Als Het Golft,De Dijk,2000,28-12-16 8:25,41270
1062,Somebody Will Know Someday,Cuby & The Blizzards,1967,28-12-16 8:32,41270
1061,Clown,Emeli Sandé,2012,28-12-16 8:35,41270
1060,Islands In The Stream,Dolly Parton & Kenny Rogers,1983,28-12-16 8:39,41270
1059,Close To The Edge,Yes,1972,28-12-16 8:47,41270
1058,Shout!,Tears For Fears,1985,28-12-16 8:52,41270
1057,Blitzkrieg Bop,Ramones,1976,28-12-16 8:54,41270
1056,MacArthur Park,Donna Summer,1978,28-12-16 8:58,41270
1055,Close To Me,The Cure,1985,28-12-16 9:11,41270
1054,Somebody To Love,George Michael,1993,28-12-16 9:16,41270
1053,Lonely Boy,Black Keys,2011,28-12-16 9:20,41270
1052,Personal Jesus,Depeche Mode,1990,28-12-16 9:23,41270
1051,When I Was Your Man,Bruno Mars,2013,28-12-16 9:27,41270
1050,Around The World,Daft Punk,1997,28-12-16 9:31,41270
1049,Gimme! Gimme! Gimme!,ABBA,1979,28-12-16 9:36,41270
1048,Keep On Loving You,REO Speedwagon,1981,28-12-16 9:39,41270
1047,All I Want,Kodaline,2012,28-12-16 9:44,41270
1046,Life's What You Make It,Talk Talk,1985,28-12-16 9:48,41270
1045,Blueberry Hill,Fats Domino,1957,28-12-16 9:50,41270
1044,Hello,Lionel Richie,1984,28-12-16 9:54,41270
1043,Walking On The Moon,The Police,1979,28-12-16 9:58,41270
1042,Help,The Beatles,1965,28-12-16 10:10,41270
1041,Avalon,Roxy Music,1982,28-12-16 10:14,41270
1040,Empire State Of Mind,Jay-Z & Alicia Keys,2009,28-12-16 10:19,41270
1039,Zing Voor Me,Lange Frans & Thé Lau,2010,28-12-16 10:22,41270
1038,Tainted Love,Soft Cell,1981,28-12-16 10:25,41270
1037,No Limit,2 Unlimited,1993,28-12-16 10:29,41270
1036,Never Gonna Give You Up,Rick Astley,1987,28-12-16 10:32,41270
1035,Harvest,Neil Young,1972,28-12-16 10:35,41270
1034,Mijn Vlakke Land,Jacques Brel,1965,28-12-16 10:38,41270
1033,Breakfast In America,Supertramp,1979,28-12-16 10:41,41270
1032,Disco Inferno,The Trammps,1977,28-12-16 10:44,41270
