pos,titel,artiest,jaar,Datum,datum2
427,Little Black Submarines,The Black Keys,2012,30-12-16 9:46,41272
426,Geef Mij Je Angst,André Hazes,1983,30-12-16 9:50,41272
425,Black Hole Sun,Soundgarden,1994,30-12-16 9:55,41272
424,Time In A Bottle,Jim Croce,1973,30-12-16 9:58,41272
423,Starlight,Muse,2006,30-12-16 10:15,41272
422,Message In A Bottle,The Police,1979,30-12-16 10:19,41272
421,Blue Monday,New Order,1983,30-12-16 10:26,41272
420,Hold The Line,Toto,1979,30-12-16 10:30,41272
419,Eleanor Rigby,The Beatles,1966,30-12-16 10:32,41272
418,Your Song,Elton John,1971,30-12-16 10:36,41272
417,Blowing In The Wind,Bob Dylan,1963,30-12-16 10:39,41272
416,Money,Pink Floyd,1973,30-12-16 10:43,41272
415,Badlands,Bruce Springsteen,1978,30-12-16 10:47,41272
414,Home Again,Kensington,2013,30-12-16 10:50,41272
413,Mag Het Licht Uit,De Dijk,1987,30-12-16 10:54,41272
412,Owner Of A Lonely Heart,Yes,1983,30-12-16 10:59,41272
411,Bliss,Muse,2002,30-12-16 11:15,41272
410,Penny Lane,The Beatles,1967,30-12-16 11:18,41272
409,Living On A Prayer,Bon Jovi,1986,30-12-16 11:22,41272
408,Ren Lenny Ren,Acda En De Munnik,2002,30-12-16 11:26,41272
407,Rehab,Amy Winehouse,2007,30-12-16 11:30,41272
406,Another Day In Paradise,Phil Collins,1989,30-12-16 11:34,41272
405,De Vlieger,André Hazes,1977,30-12-16 11:38,41272
404,1999,Prince,1982,30-12-16 11:42,41272
403,The Great Gig In The Sky,Pink Floyd,1973,30-12-16 11:46,41272
402,De Peel In Brand,Rowwen Hèze,2005,30-12-16 11:49,41272
401,Sweet Home Alabama,Lynyrd Skynyrd,1974,30-12-16 11:54,41272
400,Welterusten Meneer De President,Boudewijn de Groot,1966,30-12-16 11:56,41272
399,Staying Alive,Bee Gees,1978,30-12-16 12:15,41272
398,The Man Who Can't Be Moved,The Script,2008,30-12-16 12:19,41272
397,Tusk,Fleetwood Mac,1979,30-12-16 12:23,41272
396,Ik Heb Je Lief,Paul de Leeuw,1997,30-12-16 12:27,41272
395,The Logical Song,Supertramp,1979,30-12-16 12:31,41272
394,I Want To Know What Love Is,Foreigner,1984,30-12-16 12:36,41272
393,Onderweg,Abel,2000,30-12-16 12:39,41272
392,Wonderful Tonight,Eric Clapton,1988,30-12-16 12:43,41272
391,Beat It,Michael Jackson,1983,30-12-16 12:47,41272
390,Halt Mich,Herbert Grönemeyer,1988,30-12-16 12:51,41272
389,Born In The USA,Bruce Springsteen,1985,30-12-16 12:55,41272
388,Can I Play With Madness,Iron Maiden,1988,30-12-16 12:59,41272
387,Strawberry Fields Forever,The Beatles,1967,30-12-16 13:14,41272
386,Dirty Diana,Michael Jackson,1988,30-12-16 13:19,41272
385,Smooth Criminal,Michael Jackson,1988,30-12-16 13:23,41272
384,I Don't Want To Miss A Thing,Aerosmith,1998,30-12-16 13:28,41272
383,Love Will Tear Us Apart,Joy Division,1980,30-12-16 13:31,41272
382,Time,Pink Floyd,1973,30-12-16 13:38,41272
381,Have I Told You Lately That I Love You,Van Morrison,1989,30-12-16 13:42,41272
380,I Was Made For Loving You,Kiss,1979,30-12-16 13:47,41272
379,China Girl,David Bowie,1983,30-12-16 13:51,41272
378,Thank You For The Music,ABBA,1978,30-12-16 13:55,41272
377,Light My Fire,The Doors,1967,30-12-16 13:58,41272
376,The Man Who Sold The World (unplugged),Nirvana,1994,30-12-16 14:14,41272
375,Eagle,ABBA,1978,30-12-16 14:18,41272
374,Margherita,Marco Borsato,1996,30-12-16 14:22,41272
373,Harder Dan Ik Hebben Kan,Bløf,1999,30-12-16 14:26,41272
372,I'm Not In Love,10CC,1975,30-12-16 14:31,41272
371,Basket Case,Green Day,1994,30-12-16 14:34,41272
370,Dansen Op De Vulkaan,De Dijk,1987,30-12-16 14:38,41272
369,She,Elvis Costello,1999,30-12-16 14:41,41272
368,Romeo And Juliet,Dire Straits,1980,30-12-16 14:46,41272
367,Pompeii,Bastille,2013,30-12-16 14:49,41272
366,Fantasy,Earth Wind & Fire,1978,30-12-16 14:53,41272
365,Sorry,Kensington,2016,30-12-16 14:57,41272
364,Holiday In Spain,Counting Crows & Bløf,2004,30-12-16 15:14,41272
363,Can't Stop The Feeling,Justin Timberlake,2016,30-12-16 15:18,41272
362,Pride,U2,1984,30-12-16 15:22,41272
361,Nothing Compares 2 U,Sinead O'Connor,1990,30-12-16 15:27,41272
360,L.A. Woman,The Doors,1971,30-12-16 15:35,41272
359,My Way,Frank Sinatra,1969,30-12-16 15:39,41272
358,Don't Give Up The Fight,Racoon,2011,30-12-16 15:42,41272
357,Little Lion Man,Mumford & Sons,2009,30-12-16 15:46,41272
356,Niemand In De Stad,De Dijk,1990,30-12-16 15:50,41272
355,Take It Easy,Eagles,1972,30-12-16 15:54,41272
354,Sign 'O' The Times,Prince,1987,30-12-16 15:58,41272
353,Mother Earth,Within Temptation,2002,30-12-16 16:12,41272
352,Against All Odds,Phil Collins,1984,30-12-16 16:15,41272
351,Laat Me (Vivre),Ramses Shaffy & Liesbeth List & Alderliefste,2005,30-12-16 16:19,41272
350,Silent Lucidity,Queensrÿche,1990,30-12-16 16:25,41272
349,November,Rowwen Hèze,2000,30-12-16 16:30,41272
348,The Weight,The Band,1968,30-12-16 16:35,41272
347,Like A Hurricane,Neil Young,1977,30-12-16 16:40,41272
346,Paradise,Coldplay,2011,30-12-16 16:44,41272
345,Like A Rollin' Stone,Bob Dylan,1965,30-12-16 16:50,41272
344,One Step Beyond,Madness,1979,30-12-16 16:53,41272
343,The Thrill Is Gone,B.B. King,1969,30-12-16 16:57,41272
342,De Vondeling Van Ameland,Boudewijn de Groot,2004,30-12-16 17:14,41272
341,Dreams,Fleetwood Mac,1977,30-12-16 17:18,41272
340,Another Love,Tom Odell,2012,30-12-16 17:22,41272
339,Op Fietse,Skik,1997,30-12-16 17:26,41272
338,Deurdonderen,Normaal,1982,30-12-16 17:30,41272
337,Unfinished Sympathy,Massive Attack,1991,30-12-16 17:35,41272
336,Oerend Hard,Normaal,1977,30-12-16 17:39,41272
335,God Is A DJ,Faithless,2004,30-12-16 17:43,41272
334,Iris,Goo Goo Dolls,1999,30-12-16 17:46,41272
333,These Are The Days Of Our Lives,Queen,1991,30-12-16 17:50,41272
332,Geef Mij Je Angst,Guus Meeuwis,2004,30-12-16 17:54,41272
331,Three Little Birds,Bob Marley & The Wailers,1977,30-12-16 17:57,41272
330,Snow (Hey Oh),Red Hot Chili Peppers,2006,30-12-16 18:13,41272
329,Feel,Robbie Williams,2002,30-12-16 18:16,41272
328,A Horse With No Name,America,1972,30-12-16 18:21,41272
327,Unforgiven,Metallica,1991,30-12-16 18:26,41272
326,Zo Stil,Bløf,2012,30-12-16 18:30,41272
325,This Is What It Feels Like,Armin van Buuren,2013,30-12-16 18:33,41272
324,Twilight Zone,Golden Earring,1982,30-12-16 18:38,41272
323,The Whole Of The Moon,The Waterboys,1986,30-12-16 18:43,41272
322,She's Always A Woman To Me,Billy Joel,1978,30-12-16 18:46,41272
321,Bat Out Of Hell,Meat Loaf,1977,30-12-16 18:51,41272
320,Walk Of Life,Dire Straits,1985,30-12-16 18:55,41272
319,Killer Queen,Queen,1974,30-12-16 18:58,41272
318,Every Breath You Take,The Police,1983,30-12-16 19:14,41272
317,Get Lucky,Daft Punk,2013,30-12-16 19:18,41272
316,Rockin' In The Free World,Neil Young,1989,30-12-16 19:22,41272
315,Vienna,Ultravox,1981,30-12-16 19:27,41272
314,Plug In Baby,Muse,2001,30-12-16 19:31,41272
313,Free Bird,Lynyrd Skynyrd,1974,30-12-16 19:36,41272
312,Smokers Outside The Hospital Doors,Editors,2007,30-12-16 19:40,41272
311,Aan De Kust,Bløf,1998,30-12-16 19:43,41272
310,Ashes To Ashes,David Bowie,1980,30-12-16 19:48,41272
309,Don't Give Up,Peter Gabriel & Kate Bush,1986,30-12-16 19:53,41272
308,Kronenburg Park,Frank Boeijen Groep,1985,30-12-16 19:57,41272
307,Kiss From A Rose,Seal,1994,30-12-16 20:12,41272
306,Poison,Alice Cooper,1989,30-12-16 20:16,41272
305,My Immortal,Evanescence,2003,30-12-16 20:21,41272
304,Thunder Road,Bruce Springsteen,1975,30-12-16 20:25,41272
303,Du,Peter Maffay,1971,30-12-16 20:30,41272
302,Barcelona,Freddie Mercury & Montserrat Caballé,1987,30-12-16 20:35,41272
301,White Rabbit,Jefferson Airplane,1970,30-12-16 20:37,41272
300,Verdronken Vlinder,Boudewijn de Groot,1966,30-12-16 20:40,41272
299,With A Little Help From My Friends,Joe Cocker,1968,30-12-16 20:45,41272
298,Liefs Uit Londen,Bløf,1998,30-12-16 20:49,41272
297,Do I Wanna Know,Arctic Monkeys,2013,30-12-16 20:53,41272
296,Ice Queen,Within Temptation,2002,30-12-16 20:57,41272
295,Une Belle Histoire,Michel Fugain,1972,30-12-16 21:10,41272
294,(I Can't Get No) Satisfaction,The Rolling Stones,1965,30-12-16 21:14,41272
293,Ring Of Fire,Johnny Cash,1963,30-12-16 21:17,41272
292,Run,Snow Patrol,2004,30-12-16 21:21,41272
291,Morning Has Broken,Cat Stevens,1972,30-12-16 21:24,41272
290,Lola Montez,Volbeat,2013,30-12-16 21:29,41272
289,Solsbury Hill,Peter Gabriel,1977,30-12-16 21:33,41272
288,Halo Of Flies,Alice Cooper,1973,30-12-16 21:41,41272
287,Sterrenstof,De Jeugd Van Tegenwoordig,2010,30-12-16 21:45,41272
286,Fade To Black,Metallica,1984,30-12-16 21:52,41272
285,One Of These Nights,Eagles,1975,30-12-16 21:57,41272
284,Bad Moon Rising,Creedence Clearwater Revival,1969,30-12-16 21:59,41272
283,Brown Eyed Girl,Van Morrison,1967,30-12-16 22:10,41272
282,Boulevard Of Broken Dreams,Green Day,2004,30-12-16 22:15,41272
281,Layla,Eric Clapton,1992,30-12-16 22:19,41272
280,Forever Young,Alphaville,1984,30-12-16 22:23,41272
279,Haus Am See,Peter Fox,2009,30-12-16 22:27,41272
278,Troy,Sinead O'Connor,1987,30-12-16 22:33,41272
277,Proud Mary,Ike & Tina Turner,1971,30-12-16 22:36,41272
276,Black Magic Woman,Santana,1970,30-12-16 22:40,41272
275,The Day Before You Came,ABBA,1982,30-12-16 22:45,41272
274,Lopen Tot De Zon Komt,Acda En De Munnik,1997,30-12-16 22:49,41272
273,9 Crimes,Damien Rice,2006,30-12-16 22:52,41272
272,The Cave,Mumford & Sons,2010,30-12-16 22:56,41272
271,Somebody That I Used To Know,Gotye,2011,30-12-16 23:09,41272
270,Starman,David Bowie,1972,30-12-16 23:13,41272
269,Me And Bobby McGee,Janis Joplin,1971,30-12-16 23:17,41272
268,Sara,Fleetwood Mac,1980,30-12-16 23:22,41272
267,Als Ze Er Niet Is,De Dijk,1994,30-12-16 23:26,41272
266,Ruthless Queen,Kayak,1979,30-12-16 23:30,41272
265,Fortunate Son,Creedence Clearwater Revival,1969,30-12-16 23:33,41272
264,Knocking On Heaven's Door,Guns N' Roses,1992,30-12-16 23:38,41272
263,Ain't No Sunshine,Bill Withers,1971,30-12-16 23:40,41272
262,Dancing In The Dark,Bruce Springsteen,1984,30-12-16 23:44,41272
261,Dreadlock Holiday,10CC,1978,30-12-16 23:49,41272
260,Somewhere Only We Know,Keane,2004,30-12-16 23:53,41272
259,Window Of My Eyes,Cuby & The Blizzards,1968,30-12-16 23:56,41272
258,Kashmir,Led Zeppelin,1975,31-12-16 0:12,41273
257,Don't Look Back In Anger,Oasis,1996,31-12-16 0:16,41273
256,Zij Gelooft In Mij,André Hazes,2000,31-12-16 0:20,41273
255,California Dreamin',The Mamas & The Papas,1966,31-12-16 0:23,41273
254,Sometimes It Snows In April,Prince & The Revolution,1996,31-12-16 0:30,41273
253,Calm After The Storm,The Common Linnets,2014,31-12-16 0:33,41273
252,Lithium,Nirvana,1991,31-12-16 0:37,41273
251,Uptown Funk!,Mark Ronson Feat. Bruno Mars,2014,31-12-16 0:41,41273
250,Wind Of Change,Scorpions,1991,31-12-16 0:46,41273
249,Old Man,Neil Young,1972,31-12-16 0:50,41273
248,In The Ghetto,Elvis Presley,1969,31-12-16 0:52,41273
247,Testament,Boudewijn de Groot,1967,31-12-16 0:56,41273
246,She Sells Sanctuary,The Cult,1986,31-12-16 1:07,41273
245,I'm On Fire,Bruce Springsteen,1985,31-12-16 1:10,41273
244,Mr. Brightside,The Killers,2005,31-12-16 1:14,41273
243,Papillon,Editors,2009,31-12-16 1:18,41273
242,Englishman In New York,Sting,1988,31-12-16 1:22,41273
241,A Day In The Life,The Beatles,1967,31-12-16 1:27,41273
240,You Can't Always Get What You Want,The Rolling Stones,1969,31-12-16 1:32,41273
239,The Man With The Child In His Eyes,Kate Bush,1978,31-12-16 1:34,41273
238,No One Knows,Queens Of The Stone Age,2002,31-12-16 1:39,41273
237,Chop Suey!,System Of A Down,2001,31-12-16 1:42,41273
236,One (2005),U2 & Mary J. Blige,2007,31-12-16 1:46,41273
235,Dust In The Wind,Kansas,1978,31-12-16 1:50,41273
234,In Your Arms,Chef'Special,2014,31-12-16 1:53,41273
233,Roxanne,The Police,1979,31-12-16 1:56,41273
232,Gotta Catch 'Em All,Jason Paige,1997,31-12-16 2:06,41273
231,Another 45 Miles,Golden Earring,1969,31-12-16 2:11,41273
230,Rebel Rebel,David Bowie,1974,31-12-16 2:16,41273
229,The End,The Doors,1967,31-12-16 2:20,41273
228,More Than A Feeling,Boston,1977,31-12-16 2:23,41273
227,Riddles,Kensington,2015,31-12-16 2:26,41273
226,Insomnia,Faithless,1995,31-12-16 2:30,41273
225,Mama,Genesis,1983,31-12-16 2:35,41273
224,I Want To Break Free,Queen,1984,31-12-16 2:40,41273
223,No Woman No Cry,Bob Marley & The Wailers,1975,31-12-16 2:44,41273
222,Zombie,The Cranberries,1994,31-12-16 2:49,41273
221,Empire State Of Mind,Alicia Keys,2009,31-12-16 2:52,41273
220,A Sky Full Of Stars,Coldplay,2014,31-12-16 2:57,41273
219,Baba O'Riley,The Who,1971,31-12-16 3:08,41273
218,While My Guitar Gently Weeps,The Beatles,1968,31-12-16 3:13,41273
217,Good Vibrations,The Beach Boys,1966,31-12-16 3:16,41273
216,Worn Down Piano,Mark & Clark Band,1977,31-12-16 3:24,41273
215,Echoes,Pink Floyd,1971,31-12-16 3:48,41273
214,Don't You (Forget About Me),Simple Minds,1985,31-12-16 3:52,41273
213,Redemption Song,Bob Marley & The Wailers,1980,31-12-16 3:56,41273
212,Have You Ever Seen The Rain,Creedence Clearwater Revival,1971,31-12-16 3:59,41273
211,Kleine Jongen,André Hazes,1990,31-12-16 4:07,41273
210,Paranoid Android,Radiohead,1997,31-12-16 4:13,41273
209,Don't Stop Believin',Journey,1981,31-12-16 4:17,41273
208,Fast Car,Tracy Chapman,1988,31-12-16 4:22,41273
207,When Doves Cry,Prince,1984,31-12-16 4:26,41273
206,Karma Police,Radiohead,1997,31-12-16 4:29,41273
205,Heart Of Gold,Neil Young,1972,31-12-16 4:33,41273
204,Let Her Go,Passenger,2012,31-12-16 4:37,41273
203,"Bloed, Zweet En Tranen",André Hazes,2002,31-12-16 4:41,41273
202,Lightning Crashes,Live,1995,31-12-16 4:45,41273
201,Paradise City,Guns N' Roses,1989,31-12-16 4:52,41273
200,Bed Of Roses,Bon Jovi,1993,31-12-16 4:57,41273
199,Still Got The Blues,Gary Moore,1990,31-12-16 5:07,41273
198,Take Me To Church,Hozier,2014,31-12-16 5:11,41273
197,All Of Me,John Legend,2013,31-12-16 5:14,41273
196,Samba Pa Ti,Santana,1970,31-12-16 5:19,41273
195,Society,Eddie Vedder,2007,31-12-16 5:23,41273
194,I See Fire,Ed Sheeran,2014,31-12-16 5:27,41273
193,Money For Nothing,Dire Straits,1985,31-12-16 5:31,41273
192,Kryptonite,3 Doors Down,2000,31-12-16 5:35,41273
191,Kayleigh,Marillion,1985,31-12-16 5:38,41273
190,Angel Of Death,Slayer,1986,31-12-16 5:43,41273
189,Fear Of The Dark,Iron Maiden,1993,31-12-16 5:51,41273
188,Bad,U2,1984,31-12-16 5:57,41273
187,Sonne,Rammstein,2001,31-12-16 6:11,41273
186,Blauw,The Scene,1991,31-12-16 6:15,41273
185,Psycho,Muse,2015,31-12-16 6:21,41273
184,Beautiful Day,U2,2000,31-12-16 6:25,41273
183,One Day Like This,Elbow,2008,31-12-16 6:28,41273
182,Life On Mars,David Bowie,1971,31-12-16 6:32,41273
181,Set Fire To The Rain,Adele,2011,31-12-16 6:36,41273
180,Nobody's Wife,Anouk,1997,31-12-16 6:40,41273
179,All Along The Watchtower,Jimi Hendrix Experience,1968,31-12-16 6:44,41273
178,Take On Me,A-Ha,1985,31-12-16 6:47,41273
177,So Long Marianne,Leonard Cohen,1968,31-12-16 6:53,41273
176,Thriller,Michael Jackson,1983,31-12-16 6:57,41273
175,Graceland,Paul Simon,1987,31-12-16 7:15,41273
174,Ne Me Quitte Pas,Jacques Brel,1965,31-12-16 7:19,41273
173,Come As You Are,Nirvana,1991,31-12-16 7:22,41273
172,Zeg Me Dat Het Niet Zo Is,Frank Boeijen,1990,31-12-16 7:25,41273
171,The Show Must Go On,Queen,1991,31-12-16 7:30,41273
170,Music,John Miles,1976,31-12-16 7:35,41273
169,She,Charles Aznavour,1974,31-12-16 7:38,41273
168,Everlong,Foo Fighters,1997,31-12-16 7:42,41273
167,Dat Ik Je Mis,Maaike Ouboter,2013,31-12-16 7:46,41273
166,Sex On Fire,Kings Of Leon,2008,31-12-16 7:50,41273
165,The Winner Takes It All,ABBA,1980,31-12-16 7:55,41273
164,Dream On,Aerosmith,1973,31-12-16 7:59,41273
163,Zing Vecht Huil Bid Lach Werk En Bewonder,Ramses Shaffy,1971,31-12-16 8:15,41273
162,Let's Dance,David Bowie,1983,31-12-16 8:19,41273
161,Fields Of Gold,Sting,1993,31-12-16 8:23,41273
160,Du Hast,Rammstein,1997,31-12-16 8:27,41273
159,Happy,Pharrel Williams,2013,31-12-16 8:30,41273
158,Streets Of Philadelphia,Bruce Springsteen,1994,31-12-16 8:35,41273
157,In The End,Linkin Park,2001,31-12-16 8:38,41273
156,Ace Of Spades,Motörhead,1980,31-12-16 8:41,41273
155,Jeremy,Pearl Jam,1991,31-12-16 8:46,41273
154,Jolene,Dolly Parton,1974,31-12-16 8:49,41273
153,Lose Yourself,Eminem,2002,31-12-16 8:53,41273
152,Streets,Kensington,2014,31-12-16 8:56,41273
151,Voor Haar,Frans Halsema,1977,31-12-16 8:59,41273
150,Summer Of '69,Bryan Adams,1984,31-12-16 9:15,41273
149,Earth Song,Michael Jackson,1995,31-12-16 9:20,41273
148,I Put A Spell On You,Creedence Clearwater Revival,1972,31-12-16 9:24,41273
147,September,Earth Wind & Fire,1979,31-12-16 9:28,41273
146,Oude Maasweg,The Amazing Stroopwafels,1982,31-12-16 9:31,41273
145,Street Spirit,Radiohead,1995,31-12-16 9:35,41273
144,When We Were Young,Adele,2015,31-12-16 9:40,41273
143,Formidable,Stromae,2013,31-12-16 9:44,41273
142,I Still Haven't Found What I'm Looking For,U2,1987,31-12-16 9:48,41273
141,Born To Run,Bruce Springsteen,1975,31-12-16 9:53,41273
140,Everybody Hurts,R.E.M.,1993,31-12-16 9:58,41273
139,The Load Out / Stay,Jackson Browne,1977,31-12-16 10:20,41273
138,Man In The Mirror,Michael Jackson,1988,31-12-16 10:25,41273
137,Seven Nation Army,The White Stripes,2003,31-12-16 10:29,41273
136,Saturday Night,Herman Brood,1978,31-12-16 10:33,41273
135,Knights Of Cydonia,Muse,2006,31-12-16 10:38,41273
134,The Boxer,Simon & Garfunkel,1969,31-12-16 10:43,41273
133,Love You More,Racoon,2005,31-12-16 10:46,41273
132,Sorry,Kyteman,2009,31-12-16 10:49,41273
131,Dancing Queen,ABBA,1976,31-12-16 10:53,41273
130,Smoke On The Water,Deep Purple,1973,31-12-16 10:56,41273
129,Enjoy The Silence,Depeche Mode,1990,31-12-16 11:15,41273
128,Uprising,Muse,2009,31-12-16 11:20,41273
127,The Unforgettable Fire,U2,1985,31-12-16 11:25,41273
126,Laat Me,Ramses Shaffy,1978,31-12-16 11:30,41273
125,Thinking Out Loud,Ed Sheeran,2014,31-12-16 11:35,41273
124,Whole Lotta Love,Led Zeppelin,1969,31-12-16 11:38,41273
123,Billie Jean,Michael Jackson,1983,31-12-16 11:43,41273
122,Nights In White Satin,The Moody Blues,1968,31-12-16 11:47,41273
121,Perfect Day,Lou Reed,1972,31-12-16 11:51,41273
120,War,Kensington,2014,31-12-16 11:54,41273
119,A Whiter Shade Of Pale,Procol Harum,1967,31-12-16 11:58,41273
118,Wuthering Heights,Kate Bush,1978,31-12-16 12:16,41273
117,Skyfall,Adele,2012,31-12-16 12:20,41273
116,Papa,Stef Bos,1991,31-12-16 12:23,41273
115,When The Lady Smiles,Golden Earring,1984,31-12-16 12:27,41273
114,Californication,Red Hot Chili Peppers,2000,31-12-16 12:33,41273
113,Paranoid,Black Sabbath,1970,31-12-16 12:36,41273
112,Where The Streets Have No Name,U2,1987,31-12-16 12:40,41273
111,Yellow,Coldplay,2000,31-12-16 12:45,41273
110,Suzanne,Leonard Cohen,1968,31-12-16 12:49,41273
109,Master Of Puppets,Metallica,1986,31-12-16 12:57,41273
108,The Last Resort,Eagles,1976,31-12-16 13:16,41273
107,Jeanny,Falco,1985,31-12-16 13:21,41273
106,Suspicious Minds,Elvis Presley,1969,31-12-16 13:26,41273
105,Wonderwall,Oasis,1995,31-12-16 13:30,41273
104,Here Comes The Sun,The Beatles,1969,31-12-16 13:33,41273
103,Desperado,Eagles,1973,31-12-16 13:36,41273
102,Fragile,Sting,1988,31-12-16 13:40,41273
101,Rolling In The Deep,Adele,2010,31-12-16 13:44,41273
100,Hurricane,Bob Dylan,1975,31-12-16 13:53,41273
99,Gimme Shelter,The Rolling Stones,1969,31-12-16 13:57,41273
98,Belfast Child,Simple Minds,1989,31-12-16 14:17,41273
97,Yesterday,The Beatles,1965,31-12-16 14:19,41273
96,Blackbird,The Beatles,1968,31-12-16 14:21,41273
95,Fool's Overture,Supertramp,1977,31-12-16 14:32,41273
94,The Rose,Bette Midler,1980,31-12-16 14:36,41273
93,Stil In Mij,Van Dik Hout,1994,31-12-16 14:40,41273
92,Iedereen Is Van De Wereld,The Scene,1991,31-12-16 14:43,41273
91,Hallelujah,Jeff Buckley,1994,31-12-16 14:50,41273
90,Don't Stop Me Now,Queen,1979,31-12-16 14:54,41273
89,The Pretender,Foo Fighters,2007,31-12-16 14:58,41273
88,Dochters,Marco Borsato,2008,31-12-16 15:15,41273
87,Under Pressure,Queen & David Bowie,1981,31-12-16 15:19,41273
86,Who Wants To Live Forever,Queen,1986,31-12-16 15:24,41273
85,Bitter Sweet Symphony,The Verve,1997,31-12-16 15:28,41273
84,Make You Feel My Love,Adele,2008,31-12-16 15:32,41273
83,Tears In Heaven,Eric Clapton,1992,31-12-16 15:36,41273
82,Home,Dotan,2014,31-12-16 15:41,41273
81,Over De Muur,Klein Orkest,1984,31-12-16 15:44,41273
80,Losing My Religion,R.E.M.,1991,31-12-16 15:49,41273
79,Mr. Blue Sky,Electric Light Orchestra,1978,31-12-16 15:54,41273
78,Angie,The Rolling Stones,1973,31-12-16 15:58,41273
77,Goodnight Saigon,Billy Joel,1983,31-12-16 16:15,41273
76,Chasing Cars,Snow Patrol,2006,31-12-16 16:19,41273
75,Creep,Radiohead,1993,31-12-16 16:23,41273
74,Angels,Robbie Williams,1998,31-12-16 16:28,41273
73,Whole Lotta Rosie,AC/DC,1978,31-12-16 16:31,41273
72,Hello,Adele,2015,31-12-16 16:35,41273
71,The House Of The Rising Sun,The Animals,1964,31-12-16 16:40,41273
70,Killing In The Name Of,Rage Against The Machine,1992,31-12-16 16:45,41273
69,Pastorale,Ramses Shaffy & Liesbeth List,1969,31-12-16 16:49,41273
68,Let It Be,The Beatles,1970,31-12-16 16:53,41273
67,Private Investigations,Dire Straits,1982,31-12-16 16:59,41273
66,Another Brick In The Wall,Pink Floyd,1979,31-12-16 17:12,41273
65,Highway To Hell,AC/DC,1979,31-12-16 17:15,41273
64,Love Of My Life,Queen,1975,31-12-16 17:19,41273
63,Het Regent Zonnestralen,Acda En De Munnik,1998,31-12-16 17:23,41273
62,Enter Sandman,Metallica,1991,31-12-16 17:28,41273
61,Paint It Black,The Rolling Stones,1966,31-12-16 17:32,41273
60,Sympathy For The Devil,The Rolling Stones,1973,31-12-16 17:38,41273
59,With Or Without You,U2,1987,31-12-16 17:43,41273
58,Somebody To Love,Queen,1976,31-12-16 17:48,41273
57,Iron Sky,Paolo Nutini,2014,31-12-16 17:53,41273
56,(Sittin' On) The Dock Of The Bay,Otis Redding,1968,31-12-16 17:55,41273
55,Het Dorp,Wim Sonneveld,1974,31-12-16 17:58,41273
54,In The Air Tonight,Phil Collins,1981,31-12-16 18:15,41273
53,Telegraph Road,Dire Straits,1982,31-12-16 18:29,41273
52,Bridge Over Troubled Water,Simon & Garfunkel,1970,31-12-16 18:34,41273
51,Sweet Child O' Mine,Guns N' Roses,1988,31-12-16 18:40,41273
50,Under The Bridge,Red Hot Chili Peppers,1992,31-12-16 18:45,41273
49,Sunday Bloody Sunday,U2,1985,31-12-16 18:49,41273
48,School,Supertramp,1974,31-12-16 18:55,41273
47,Someone Like You,Adele,2011,31-12-16 18:59,41273
46,Riders On The Storm,The Doors,1971,31-12-16 19:18,41273
45,Back To Black,Amy Winehouse,2006,31-12-16 19:22,41273
44,Alive,Pearl Jam,1992,31-12-16 19:27,41273
43,Go Your Own Way,Fleetwood Mac,1977,31-12-16 19:31,41273
42,Brabant,Guus Meeuwis,2004,31-12-16 19:34,41273
41,The Scientist,Coldplay,2002,31-12-16 19:39,41273
40,A Forest,The Cure,1980,31-12-16 19:44,41273
39,Hey Jude,The Beatles,1968,31-12-16 19:51,41273
38,Space Oddity,David Bowie,1969,31-12-16 19:56,41273
37,Old And Wise,The Alan Parsons Project,1982,31-12-16 20:11,41273
36,Clocks,Coldplay,2003,31-12-16 20:15,41273
35,Innuendo,Queen,1991,31-12-16 20:22,41273
34,Just Breathe,Pearl Jam,2009,31-12-16 20:25,41273
33,Viva La Vida,Coldplay,2009,31-12-16 20:29,41273
32,Smells Like Teen Spirit,Nirvana,1991,31-12-16 20:33,41273
31,One,U2,1992,31-12-16 20:38,41273
30,Africa,Toto,1982,31-12-16 20:42,41273
29,Hallelujah,Leonard Cohen,1984,31-12-16 20:47,41273
28,Hurt,Johnny Cash,2003,31-12-16 20:50,41273
27,Paradise By The Dashboard Light,Meat Loaf,1978,31-12-16 20:56,41273
26,Sultans Of Swing,Dire Straits,1978,31-12-16 21:12,41273
25,One,Metallica,1994,31-12-16 21:19,41273
24,Oceaan,Racoon,2012,31-12-16 21:22,41273
23,The Sound Of Silence,Simon & Garfunkel,1966,31-12-16 21:25,41273
22,Radar Love,Golden Earring,1973,31-12-16 21:30,41273
21,Thunderstruck,AC/DC,1990,31-12-16 21:35,41273
20,Shine On You Crazy Diamond,Pink Floyd,1975,31-12-16 21:45,41273
19,Brothers In Arms,Dire Straits,1985,31-12-16 21:50,41273
18,God Only Knows,The Beach Boys,1966,31-12-16 21:53,41273
17,November Rain,Guns N' Roses,1992,31-12-16 22:16,41273
16,Comfortably Numb,Pink Floyd,1979,31-12-16 22:20,41273
15,Nothing Else Matters,Metallica,1992,31-12-16 22:27,41273
14,The River,Bruce Springsteen,1981,31-12-16 22:32,41273
13,Purple Rain,Prince & The Revolution,1984,31-12-16 22:40,41273
12,Imagine,John Lennon,1971,31-12-16 22:43,41273
11,Fix You,Coldplay,2005,31-12-16 22:48,41273
10,Black,Pearl Jam,1991,31-12-16 22:54,41273
